"dep_airport","arr_airport","month","day_date","day_week","hour","duration","delay"
376001,250002,8,23,3,6,300,1
376001,250002,8,23,3,6,300,1
376001,276002,8,23,3,6,260,0
376001,840009,8,23,3,6,710,0
376001,203001,8,23,3,7,240,0
376001,826002,8,23,3,7,320,0
376001,250003,8,23,3,7,300,0
376001,826002,8,23,3,7,325,0
376001,826002,8,23,3,7,320,0
376001,826002,8,23,3,7,325,0
376001,826002,8,23,3,7,325,0
376001,276007,8,23,3,7,240,0
376001,276007,8,23,3,7,240,0
376001,276007,8,23,3,7,240,0
376001,380004,8,23,3,7,250,0
376001,380004,8,23,3,7,250,0
376001,250002,8,23,3,7,285,1
376001,250002,8,23,3,7,285,1
376001,380004,8,23,3,7,250,0
376001,250002,8,23,3,7,285,1
376001,756003,8,23,3,8,260,1
376001,756003,8,23,3,8,260,1
376001,643002,8,23,3,8,345,0
376001,276004,8,23,3,8,270,1
376001,276004,8,23,3,8,270,1
376001,643002,8,23,3,8,345,0
376001,276004,8,23,3,8,270,1
376001,250002,8,23,3,9,290,0
376001,498001,8,23,3,9,165,0
376001,642001,8,23,3,9,170,1
376001,300011,8,23,3,10,100,0
376001,250002,8,23,3,9,290,0
376001,792003,8,23,3,10,95,0
376001,826002,8,23,3,10,325,1
376001,300009,8,23,3,10,110,0
376001,826002,8,23,3,10,325,1
380004,376001,8,23,3,5,235,1
376001,826002,8,23,3,10,325,1
616003,376001,8,23,3,5,205,2
792003,376001,8,23,3,8,90,1
40001,376001,8,23,3,6,200,2
40001,376001,8,23,3,6,200,1
40001,376001,8,23,3,6,200,1
348001,376001,8,23,3,6,195,0
124001,376001,8,22,2,18,605,2
840004,376001,8,22,2,11,835,0
124001,376001,8,22,2,18,605,2
31001,376001,8,23,3,8,205,0
840004,376001,8,22,2,11,835,0
250008,376001,8,23,3,7,225,0
348001,376001,8,23,3,7,200,1
756001,376001,8,23,3,7,245,1
784002,376001,8,23,3,9,210,0
784002,376001,8,23,3,9,210,0
348001,376001,8,23,3,7,200,1
784001,376001,8,23,3,10,205,0
380004,376001,8,23,3,7,235,1
784001,376001,8,23,3,10,205,0
840009,376001,8,22,2,21,625,0
724001,376001,8,23,3,8,275,0
724001,376001,8,23,3,8,275,0
250002,376001,8,23,3,9,255,0
250002,376001,8,23,3,9,255,0
840007,376001,8,22,2,19,845,0
250002,376001,8,23,3,9,255,0
124001,376001,8,22,2,18,605,2
196001,376001,8,23,3,10,60,0
124001,376001,8,22,2,18,605,2
196001,376001,8,23,3,12,65,0
100003,376001,8,23,3,11,135,0
196001,376001,8,23,3,10,60,0
300011,376001,8,23,3,12,100,1
705001,376001,8,23,3,9,190,1
705001,376001,8,23,3,9,190,1
792003,376001,8,23,3,12,95,0
380006,376001,8,23,3,9,200,0
380006,376001,8,23,3,9,200,0
380006,376001,8,23,3,9,200,0
724001,376001,8,23,3,8,275,0
348001,376001,8,23,3,10,190,0
380006,376001,8,23,3,10,205,0
724001,376001,8,23,3,8,275,0
840009,376001,8,22,2,21,625,0
250002,376001,8,23,3,9,255,0
380006,376001,8,23,3,10,205,0
250002,376001,8,23,3,9,255,0
250002,376001,8,23,3,9,255,0
40001,376001,8,23,3,10,205,1
48001,376001,8,23,3,12,170,0
56001,376001,8,23,3,9,270,1
40001,376001,8,23,3,10,205,2
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
276004,376001,8,23,3,10,245,1
250008,376001,8,23,3,11,225,1
724002,376001,8,23,3,10,250,0
276004,376001,8,23,3,10,245,1
203001,376001,8,23,3,11,225,0
724002,376001,8,23,3,10,250,0
724002,376001,8,23,3,10,250,0
250003,376001,8,23,3,10,285,0
756001,376001,8,23,3,11,245,1
276002,376001,8,23,3,10,245,1
276007,376001,8,23,3,11,220,0
250002,376001,8,23,3,11,265,1
250002,376001,8,23,3,11,265,1
276007,376001,8,23,3,11,220,0
276007,376001,8,23,3,11,220,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
528001,376001,8,23,3,11,270,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
724001,376001,8,23,3,11,280,0
250002,376001,8,23,3,11,285,0
528001,376001,8,23,3,11,270,0
840007,376001,8,22,2,19,845,0
250003,376001,8,23,3,11,285,1
250002,376001,8,23,3,11,285,0
764001,376001,8,23,3,16,655,0
764001,376001,8,23,3,16,655,0
764001,376001,8,23,3,16,655,0
376001,250002,8,23,3,7,285,1
764001,376001,8,23,3,16,655,0
376001,643002,8,23,3,8,345,0
376001,250002,8,23,3,7,285,1
376001,643002,8,23,3,8,345,0
376001,250002,8,23,3,7,285,1
376001,250002,8,23,3,9,290,0
376001,826002,8,23,3,10,325,0
376001,250002,8,23,3,9,290,0
376001,826002,8,23,3,10,325,0
376001,642002,8,23,3,10,195,1
376001,124002,8,23,3,11,705,0
376001,380006,8,23,3,11,240,0
376001,784002,8,23,3,11,200,0
376001,826002,8,23,3,10,325,0
376001,784002,8,23,3,11,200,0
376001,616007,8,23,3,11,245,0
376001,616007,8,23,3,11,245,0
376001,792004,8,23,3,11,135,0
376001,124002,8,23,3,11,700,0
376001,792003,8,23,3,11,90,2
376001,124002,8,23,3,11,700,0
376001,40001,8,23,3,11,230,2
376001,40001,8,23,3,11,230,2
376001,643002,8,23,3,11,345,1
376001,643002,8,23,3,11,345,1
376001,300001,8,23,3,12,130,0
376001,31001,8,23,3,11,185,0
376001,756003,8,24,4,4,260,2
376001,792001,8,24,4,4,140,0
376001,724001,8,24,4,5,320,0
376001,724001,8,24,4,5,320,0
376001,724001,8,24,4,5,320,0
376001,724001,8,24,4,5,320,0
376001,724001,8,24,4,5,320,0
376001,724001,8,24,4,5,325,0
376001,724001,8,24,4,5,325,0
376001,724001,8,24,4,5,325,0
376001,203001,8,24,4,5,245,1
376001,203001,8,24,4,5,245,1
376001,203001,8,24,4,5,245,1
376001,724001,8,24,4,5,325,0
376001,250002,8,24,4,5,300,0
376001,250002,8,24,4,5,300,0
376001,724002,8,24,4,5,280,0
376001,250002,8,24,4,5,300,0
376001,724002,8,24,4,5,280,0
376001,276004,8,24,4,6,270,0
376001,724002,8,24,4,5,280,0
376001,756001,8,24,4,6,270,0
376001,276004,8,24,4,6,270,0
376001,276002,8,24,4,6,260,0
376001,840009,8,24,4,6,710,0
376001,250003,8,24,4,6,300,2
376001,428001,8,24,4,6,275,1
376001,40001,8,24,4,6,225,1
376001,203001,8,24,4,7,240,0
376001,528001,8,24,4,7,300,0
376001,348001,8,24,4,6,200,0
376001,528001,8,24,4,7,300,0
376001,826002,8,24,4,7,320,0
376001,826002,8,24,4,7,325,0
376001,826002,8,24,4,7,325,0
376001,826002,8,24,4,7,320,0
376001,826002,8,24,4,7,325,0
376001,276007,8,24,4,7,240,2
376001,276007,8,24,4,7,240,2
376001,276007,8,24,4,7,240,2
376001,380010,8,24,4,7,230,0
376001,380004,8,24,4,7,250,1
376001,380004,8,24,4,7,250,1
376001,380004,8,24,4,7,250,1
376001,380010,8,24,4,7,230,0
376001,756003,8,24,4,8,260,0
376001,276004,8,24,4,8,270,2
376001,380006,8,24,4,8,235,0
376001,276004,8,24,4,8,270,2
376001,380006,8,24,4,8,235,0
376001,276004,8,24,4,8,270,2
376001,250002,8,24,4,9,290,0
376001,756003,8,24,4,8,260,0
376001,250002,8,24,4,9,290,0
376001,250002,8,24,4,8,295,0
100001,376001,8,24,4,7,145,1
100001,376001,8,24,4,7,145,1
840009,376001,8,23,3,16,630,0
376001,196001,8,24,4,9,60,0
440001,376001,8,24,4,6,235,1
124002,376001,8,23,3,16,625,0
792004,376001,8,24,4,8,125,0
124002,376001,8,23,3,16,625,0
616003,376001,8,24,4,5,215,1
348001,376001,8,24,4,6,195,0
616003,376001,8,24,4,5,215,1
616007,376001,8,24,4,5,225,1
196002,376001,8,24,4,9,65,0
380007,376001,8,24,4,6,240,1
380007,376001,8,24,4,6,240,1
40001,376001,8,24,4,6,200,1
840004,376001,8,23,3,11,835,0
380006,376001,8,24,4,6,205,1
124002,376001,8,23,3,18,640,0
840004,376001,8,23,3,11,835,0
380006,376001,8,24,4,7,205,1
124002,376001,8,23,3,18,640,0
380006,376001,8,24,4,7,205,1
528001,376001,8,24,4,6,275,0
276001,376001,8,24,4,6,250,0
276001,376001,8,24,4,6,250,0
784001,376001,8,24,4,9,205,1
784001,376001,8,24,4,9,205,1
380011,376001,8,24,4,7,225,1
380011,376001,8,24,4,7,225,1
348001,376001,8,24,4,8,200,0
784002,376001,8,24,4,9,210,0
784002,376001,8,24,4,9,210,0
380004,376001,8,24,4,7,235,1
276002,376001,8,24,4,8,255,1
724001,376001,8,24,4,8,275,0
348001,376001,8,24,4,8,200,0
724001,376001,8,24,4,8,275,0
840009,376001,8,23,3,21,625,0
250003,376001,8,24,4,8,285,0
840007,376001,8,23,3,19,845,0
840009,376001,8,23,3,22,625,1
300011,376001,8,24,4,12,100,2
840009,376001,8,23,3,21,625,1
250006,376001,8,24,4,10,235,1
250006,376001,8,24,4,10,235,1
56001,376001,8,24,4,9,270,1
276004,376001,8,24,4,10,245,1
276004,376001,8,24,4,10,245,1
276004,376001,8,24,4,10,245,1
276004,376001,8,24,4,10,245,1
276004,376001,8,24,4,10,245,1
300002,376001,8,24,4,13,135,1
792001,376001,8,24,4,13,125,1
203001,376001,8,24,4,11,225,1
724002,376001,8,24,4,10,250,1
724002,376001,8,24,4,10,250,1
724002,376001,8,24,4,10,250,1
276002,376001,8,24,4,10,245,1
276007,376001,8,24,4,11,220,1
276007,376001,8,24,4,11,220,1
276007,376001,8,24,4,11,220,1
276004,376001,8,24,4,10,250,1
840009,376001,8,23,3,22,625,1
276004,376001,8,24,4,10,250,1
380006,376001,8,24,4,11,210,1
756001,376001,8,24,4,11,245,1
250002,376001,8,24,4,11,265,2
250002,376001,8,24,4,11,265,2
380006,376001,8,24,4,11,210,1
756003,376001,8,24,4,11,240,1
380004,376001,8,24,4,12,225,2
724001,376001,8,24,4,11,280,2
792004,376001,8,24,4,14,115,2
724001,376001,8,24,4,11,280,2
